header,link
Submit A Daily Blast Entry,/DailyBlast/Home/BuildDigestItem
FAQ,/DailyBlast/Home/FAQ?Length=4
Email/Daily Blast Guidelines,https://www.mines.edu/communications/wp-content/uploads/sites/283/2020/01/daily-blast-guidelines.pdf
Provide Feedback,"mailto:Daily-Blast-Feedback@mines.edu

                    ?Subject=Feedback%20on%20Daily%20Blast&body=Enter your feedback and send the email."
Peer Mentor Applications Close This Friday!,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35457
Career Center Spring Semester Hours,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35603
Don't forget to get your 2023 Colorado Geology Calendar!,https://www.amazon.com/dp/B0BPZQ4XPG?ref_=cm_sw_r_cp_ud_dp_7WT41RXH5HW50E8VKYAN
January is National Stalking Awareness Month (NSAM),https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35377
Know before you GO! Is there space at the library right now?,https://waitz.io/mines
The Writing Center is open. Make an appointment this week!,https://writing.mines.edu/
Boba TEA Celebration - 1/17 - CK 282 - 4 to 5:30 PM,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35500
"GE, GP, ESP, USGS, OGI Joint Lecture: David Applegate, USGS",https://calendar.mines.edu/event/joint-lecture-david-applegate-usgs-director/
QBE Candidates: Courtney Schiebout Teaching Demos & Lunch!,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35485
QBE Candidates: Teresa Bilinski Teaching Demos & Lunch!,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35487
RSVP for the SWE Spring Kick-Off!! FOOD PROVIDED!,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35604
Setting Base Camp - Leadership Summit Registration is NOW,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35466
Shoot Around and Tryouts for Women's Basketball 1/11 @8:30pm,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35628
Women's Club Lacrosse Kickoff Meeting,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35607
Registration is open for the Payne Scholars Program-join us!,https://payneinstitute.mines.edu/paynescholars/
Andrew Lattanner named Director of Federal Relations,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35588
Mindful Mondays Cancelled this semester,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35601
Need research help?  Can't find a resource? Click here!,https://library.mines.edu/help/
NEED TO TALK? COUNSELING CENTER OFFICE HOURS NOW EVERYDAY,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35540
Part-Time Graduate Student Ambassador Positions Opening,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35584
New Video Workshop + Additional Copyright Course Added,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=35585
Spring Club and Org Fair!,https://forms.office.com/r/Jq9nD9fjsD
